Data,Posiłek,"Produkty i potrawy","Miara użyteczna","ilość (g)","kalorie (kcal)","Białka (g)","Zwierzęce (g)","Roślinne (g)","Tłuszcze (g)","Nasycone (g)","Jednonienasycone (g)","Wielonienasycone (g)","Kwas omega 3 (g)","Kwas omega 6 (g)","Węglowodany (g)","Cukry (g)","Cholesterol (mg)","Błonnik (g)","Kofeina (mg)","Kwas foliowy (ug)","Witamina A (ug)","Witamina B1 (mg)","Witamina B2 (mg)","Witamina B5 (mg)","Witamina B6 (mg)","Biotyna (ug)","Witamina B12 (ug)","Witamina C (mg)","Witamina D (ug)","Witamina E (mg)","Witamina PP (mg)","Witamina K (ug)","Cynk (mg)","Fosfor (mg)","Jod (ug)","Magnez (mg)","Miedź (mg)","Potas (mg)","Selen (ug)","Sód (mg)","Wapń (mg)","Żelazo (mg)","Sól (g)"
2025-04-08,Śniadanie,"Pieczywo chrupkie żytnie","36x g",36,126.36,3.132,3.132,,0.324,0.072,,,0,0,25.92,1.764,,3.96,,,,,,,,,,,,,,,,,,,,,,216,,,0.54
2025-04-08,Śniadanie,"Piatnica Jogurt Grecki 0% Naturalny","1x opakowanie",150,76.5,13.05,,13.05,0,0,0,0,,0,6.15,5.1,0,0,,0,0,0,0,,0,,0,0,0,0,0,,0,0,0,0,0,0,0,60,0,0,0.15
2025-04-08,Śniadanie,Białko,"40x g",40,156,31.6,,31.6,2.6,1.6,0.64,0.04,,,2,2,,0,,,,,,,,,,,,,,,,,,,,,,80,,,0.396
2025-04-08,Śniadanie,"Pizza z kurczakiem","1x opakowanie",400,892,54.8,,,28.8,16.4,,,,,100.8,14.8,,6.4,,,,,,,,,,,,,,,,,,,,,,2240,,,5.6
2025-04-08,Obiad,"Poledwiczki wieprzowe","300x g",300,327,63,,,6.6,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-08,Obiad,Olej,"10x g",10,88.4,0,,,10,0.67,6.3,2.58,,,0,0,0,0,,,,,,,,,,,,2.67,,,,,,,,,,,,,
2025-04-08,Kolacja,"Pieczywo chrupkie żytnie","36x g",36,126.36,3.132,3.132,,0.324,0.072,,,0,0,25.92,1.764,,3.96,,,,,,,,,,,,,,,,,,,,,,216,,,0.54
2025-04-09,Śniadanie,Sushi,"1x opakowanie",203.6,313.544,9.3656,,,9.3656,1.2216,,,,,46.828,7.3296,,0,,,,,,,,,,,,,,,,,,,,,,773.68,,,4.6828
2025-04-09,Śniadanie,"Pieczywo chrupkie żytnie","12x g",12,42.12,1.044,1.044,,0.108,0.024,,,0,0,8.64,0.588,,1.32,,,,,,,,,,,,,,,,,,,,,,72,,,0.18
2025-04-11,Śniadanie,"Płatki owsiane","3x łyżka",30,113.7,3.84,3.84,0,2.16,0.375,0.783,0.87,0.045,0.825,18.72,0.27,0,2.07,,25.8,0,0.138,0.045,,0.045,,0,0,0,0.54,0.261,0.36,0.93,129.9,1.77,38.7,0.165,113.7,,1.5,16.2,1.17,0.003
2025-04-11,Śniadanie,"Mleko spożywcze 2% tłuszczu","200x ml",200,102,6.8,0,6.8,4,2.4,1.2,0.2,,,9.8,,16,0,,10,50,0,0.4,,0.2,,0.8,2,0,0.2,0.2,,0.6,172,,24,0,282,,90,240,0.2,
